UID          PID    PPID  C STIME TTY          TIME CMD
adaniels    2021    1750  0 04:43 ?        00:00:07 /usr/libexec/at-spi2-registryd --use-gnome-session
adaniels    2023    1750  0 04:43 ?        00:00:01 /usr/libexec/xdg-document-portal
adaniels    2028    1750  0 04:43 ?        00:00:00 /usr/libexec/xdg-permission-store
adaniels    2037    1750  0 04:43 ?        00:00:01 /usr/libexec/xdg-desktop-portal-gtk
adaniels    2045    1750  0 04:43 ?        00:00:00 /usr/libexec/dconf-service
adaniels    2049    1750  0 04:43 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
adaniels    2061    1750  0 04:43 ?        00:00:03 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
adaniels    2069    1961  0 04:43 ?        00:00:39 /usr/libexec/ibus-engine-simple
adaniels    2080    1750  4 04:43 ?        00:38:12 /usr/bin/gnome-shell
adaniels    2120    1750  0 04:43 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
adaniels    2126    1750  0 04:43 ?        00:00:00 /usr/libexec/evolution-source-registry
adaniels    2135    1750  0 04:43 ?        00:00:00 /usr/libexec/evolution-calendar-factory
adaniels    2146    1750  0 04:43 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
adaniels    2160    1750  0 04:43 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
adaniels    2174    1770  0 04:43 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.3 /org/gtk/gvfs/exec_spaw/0
adaniels    2186    1750  0 04:43 ?        00:00:00 /usr/libexec/gsd-a11y-settings
adaniels    2187    1750  0 04:43 ?        00:00:01 /usr/libexec/gsd-color
adaniels    2188    1750  0 04:43 ?        00:00:00 /usr/libexec/gsd-datetime
adaniels    2190    1750  0 04:43 ?        00:00:03 /usr/libexec/gsd-housekeeping
adaniels    2193    1750  0 04:43 ?        00:00:01 /usr/libexec/gsd-keyboard
adaniels    2195    1750  0 04:43 ?        00:00:03 /usr/libexec/gsd-media-keys
adaniels    2197    1750  0 04:43 ?        00:00:03 /usr/libexec/gsd-power
adaniels    2199    1750  0 04:43 ?        00:00:00 /usr/libexec/gsd-print-notifications
adaniels    2200    1750  0 04:43 ?        00:00:00 /usr/libexec/gsd-rfkill
adaniels    2201    1750  0 04:43 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
adaniels    2202    1750  0 04:43 ?        00:00:05 /usr/libexec/gsd-sharing
adaniels    2203    1750  0 04:43 ?        00:00:00 /usr/libexec/gsd-smartcard
adaniels    2204    1750  0 04:43 ?        00:00:00 /usr/libexec/gsd-sound
adaniels    2205    1750  0 04:43 ?        00:00:00 /usr/libexec/gsd-usb-protection
adaniels    2207    1750  0 04:43 ?        00:00:01 /usr/libexec/gsd-wacom
adaniels    2210    1750  0 04:43 ?        00:00:00 /usr/libexec/gsd-wwan
adaniels    2213    1750  0 04:43 ?        00:00:01 /usr/libexec/gsd-xsettings
adaniels    2251    2061  0 04:43 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
adaniels    2256    2061  0 04:43 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
adaniels    2301    1750  0 04:43 ?        00:00:00 /usr/libexec/gsd-printer
adaniels    2306    1750  0 04:43 ?        00:00:11 /snap/snap-store/481/usr/bin/snap-store --gapplication-service
root        2475       1  0 04:43 ?        00:00:05 /usr/libexec/fwupd/fwupd
adaniels    3068    1750  0 04:43 ?        00:00:00 /usr/bin/gnome-calendar --gapplication-service
adaniels    3172    2080  4 04:43 ?        00:43:46 /opt/google/chrome/chrome
adaniels    3178    3172  0 04:43 ?        00:00:00 cat
adaniels    3179    3172  0 04:43 ?        00:00:00 cat
adaniels    3182    3172  0 04:43 ?        00:00:00 /opt/google/chrome/chrome --type=zygote --no-zygote-sandbox --enable-crash-reporter=67d4cb9d-834b-4096-a63c-7af0462b973b,
adaniels    3183    3172  0 04:43 ?        00:00:00 /opt/google/chrome/chrome --type=zygote --enable-crash-reporter=67d4cb9d-834b-4096-a63c-7af0462b973b,
adaniels    3184    3183  0 04:43 ?        00:00:00 /opt/google/chrome/nacl_helper
adaniels    3187    3183  0 04:43 ?        00:00:00 /opt/google/chrome/chrome --type=zygote --enable-crash-reporter=67d4cb9d-834b-4096-a63c-7af0462b973b,
adaniels    3208    3182  6 04:43 ?        01:02:06 /opt/google/chrome/chrome --type=gpu-process --field-trial-handle=17773413842384899702,5461350874668122554,131072 --enable-crash-reporter=67d4cb9d-834b-4096-a63c-7af0462b973b, --gpu-preferences=MAAAAAAAAAAgAAAQAAAAAAAAAAAAAAAAAABgAAAAAAAQAAAAAAAAAAAAAAAAAAAACAAAAAAAAAA= --shared-files
adaniels    3212    3172  2 04:43 ?        00:18:33 /opt/google/chrome/chrome --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=17773413842384899702,5461350874668122554,131072 --lang=en-US --service-sandbox-type=network --enable-crash-reporter=67d4cb9d-834b-4096-a63c-7af0462b973b, --shared-files
adaniels    3454    3187  0 04:43 ?        00:00:33 /opt/google/chrome/chrome --type=renderer --field-trial-handle=17773413842384899702,5461350874668122554,131072 --lang=en-US --enable-crash-reporter=67d4cb9d-834b-4096-a63c-7af0462b973b, --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=14 --no-v8-untrusted-code-mitigations --shared-files
adaniels    3468    3187  1 04:43 ?        00:12:54 /opt/google/chrome/chrome --type=renderer --field-trial-handle=17773413842384899702,5461350874668122554,131072 --lang=en-US --enable-crash-reporter=67d4cb9d-834b-4096-a63c-7af0462b973b, --extension-process --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=15 --no-v8-untrusted-code-mitigations --shared-files
adaniels    3502    3172  0 04:43 ?        00:07:43 /opt/google/chrome/chrome --type=utility --utility-sub-type=audio.mojom.AudioService --field-trial-handle=17773413842384899702,5461350874668122554,131072 --lang=en-US --service-sandbox-type=none --enable-crash-reporter=67d4cb9d-834b-4096-a63c-7af0462b973b, --shared-files
adaniels    3814    3187  0 04:44 ?        00:06:44 /opt/google/chrome/chrome --type=renderer --field-trial-handle=17773413842384899702,5461350874668122554,131072 --lang=en-US --enable-crash-reporter=67d4cb9d-834b-4096-a63c-7af0462b973b, --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=61 --no-v8-untrusted-code-mitigations --shared-files
adaniels    3827    1750  0 04:44 ?        00:00:00 /usr/libexec/gvfsd-metadata
adaniels    3831    2061  0 04:44 ?        00:00:01 update-notifier
adaniels    3854    3187  0 04:44 ?        00:03:09 /opt/google/chrome/chrome --type=renderer --field-trial-handle=17773413842384899702,5461350874668122554,131072 --lang=en-US --enable-crash-reporter=67d4cb9d-834b-4096-a63c-7af0462b973b, --extension-process --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=62 --no-v8-untrusted-code-mitigations --shared-files
adaniels    4433    1750  0 04:45 ?        00:01:48 /snap/slack/30/usr/lib/slack/slack --no-sandbox --executed-from=/home/adaniels --pid=4410
adaniels    4436    4433  0 04:45 ?        00:00:00 /snap/slack/30/usr/lib/slack/slack --type=zygote --no-zygote-sandbox --no-sandbox
adaniels    4437    4433  0 04:45 ?        00:00:00 /snap/slack/30/usr/lib/slack/slack --type=zygote --no-sandbox
adaniels    4475    4433  0 04:45 ?        00:00:10 /snap/slack/30/usr/lib/slack/slack --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=8732359218600793357,7485345804222377889,131072 --enable-features=WebComponentsV0Enabled --disable-features=CookiesWithoutSameSiteMustBeSecure,HardwareMediaKeyHandling,SameSiteByDefaultCookies,SpareRendererForSitePerProcess,WebRtcHideLocalIpsWithMdns --lang=en-US --service-sandbox-type=network --no-sandbox --enable-crash-reporter=05d004f3-8809-46db-87bd-6c4fbe509f32,no_channel --global-crash-keys=05d004f3-8809-46db-87bd-6c4fbe509f32,no_channel,_companyName=Slack Technologies,_productName=Slack,_version=4.10.3 --standard-schemes=slack-webapp-dev --secure-schemes=slack-webapp-dev --bypasscsp-schemes=slack-webapp-dev --cors-schemes=slack-webapp-dev --fetch-schemes=slack-webapp-dev --service-worker-schemes=slack-webapp-dev --shared-files=v8_snapshot_data:100
adaniels    4485    4436  0 04:45 ?        00:00:23 /snap/slack/30/usr/lib/slack/slack --type=gpu-process --field-trial-handle=8732359218600793357,7485345804222377889,131072 --enable-features=WebComponentsV0Enabled --disable-features=CookiesWithoutSameSiteMustBeSecure,HardwareMediaKeyHandling,SameSiteByDefaultCookies,SpareRendererForSitePerProcess,WebRtcHideLocalIpsWithMdns --no-sandbox --enable-crash-reporter=05d004f3-8809-46db-87bd-6c4fbe509f32,no_channel --global-crash-keys=05d004f3-8809-46db-87bd-6c4fbe509f32,no_channel,_companyName=Slack Technologies,_productName=Slack,_version=4.10.3 --gpu-preferences=MAAAAAAAAAAgAAAQAAAAAAAAAAAAAAAAAABgAAAAAAAQAAAAAAAAAAAAAAAAAAAACAAAAAAAAAA= --use-gl=swiftshader-webgl --shared-files
adaniels    4496    4437  0 04:45 ?        00:07:57 /snap/slack/30/usr/lib/slack/slack --type=renderer --no-sandbox --autoplay-policy=no-user-gesture-required --force-color-profile=srgb --field-trial-handle=8732359218600793357,7485345804222377889,131072 --enable-features=WebComponentsV0Enabled --disable-features=CookiesWithoutSameSiteMustBeSecure,HardwareMediaKeyHandling,SameSiteByDefaultCookies,SpareRendererForSitePerProcess,WebRtcHideLocalIpsWithMdns --disable-gpu-compositing --lang=en-US --enable-crash-reporter=05d004f3-8809-46db-87bd-6c4fbe509f32,no_channel --global-crash-keys=05d004f3-8809-46db-87bd-6c4fbe509f32,no_channel,_companyName=Slack Technologies,_productName=Slack,_version=4.10.3 --standard-schemes=slack-webapp-dev --secure-schemes=slack-webapp-dev --bypasscsp-schemes=slack-webapp-dev --cors-schemes=slack-webapp-dev --fetch-schemes=slack-webapp-dev --service-worker-schemes=slack-webapp-dev --app-path=/snap/slack/30/usr/lib/slack/resources/app.asar --enable-sandbox --native-window-open --preload=/snap/slack/30/usr/lib/slack/resources/app.asar/dist/preload.bundle.js --context-isolation --background-color=#1A1D21 --enable-blink-features=EventTiming --enable-spellcheck --enable-websql --disable-electron-site-instance-overrides --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=5 --no-v8-untrusted-code-mitigations --shared-files=v8_snapshot_data:100 --window-type=main
adaniels    4577    3187  0 04:45 ?        00:01:11 /opt/google/chrome/chrome --type=renderer --field-trial-handle=17773413842384899702,5461350874668122554,131072 --lang=en-US --enable-crash-reporter=67d4cb9d-834b-4096-a63c-7af0462b973b, --extension-process --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=80 --no-v8-untrusted-code-mitigations --shared-files
adaniels    4663    3187  2 04:46 ?        00:22:28 /opt/google/chrome/chrome --type=renderer --field-trial-handle=17773413842384899702,5461350874668122554,131072 --lang=en-US --enable-crash-reporter=67d4cb9d-834b-4096-a63c-7af0462b973b, --extension-process --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=83 --no-v8-untrusted-code-mitigations --shared-files
